fold,train_n,test_n,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_ret_mae,xgb_ret_mae,np_ret_mae,tft_ret_mae
1,1237,123,0.017596905798493902,0.013467554942978315,0.019153283060975065,0.014738054122869305,0.014104163007221738,0.02312925891680165,0.02371769249430012,0.026144666568017637,0.023423679826831644
2,1608,123,0.008839595241596825,0.009996647133812615,0.013947244255607578,0.008749326376616922,0.011017387327000123,0.013549572672094987,0.014034209794769702,0.025117333605217864,0.013960425199346685
3,1979,124,0.011041989847010035,0.010967812906222668,0.012882720724757777,0.009250642506579866,0.012513427208653507,0.012112540899065912,0.012648330258697932,0.014514919017351125,0.012609167365746144
4,2226,124,0.010352938842890803,0.009794719996436775,0.010786463931997947,0.008591071009558691,0.010841097653228826,0.013216700245377053,0.013458908888644514,0.01563828238440662,0.013777415553654348
