fold,train_n,test_n,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_ret_mae,xgb_ret_mae,np_ret_mae,tft_ret_mae
1,1244,125,0.020401351398149532,0.015870622591109346,0.01884079803405357,0.015093513695398667,0.016234394962734346,0.021508958613818366,0.022342962519133414,0.03199719622990294,0.02192034802052101
2,1617,124,0.012225208506330887,0.008457026868288706,0.013109426277947846,0.007839019574923393,0.010332639049580851,0.012225208506330887,0.012407734263741312,0.017177510949123738,0.012320075456190998
3,1991,124,0.009226862012445295,0.014613895670268308,0.011866257487700258,0.008138908989888727,0.012778238194613298,0.011416203575595725,0.013004006046058293,0.013227824649130752,0.012029405053187066
4,2240,125,0.014119328347965423,0.011480084538242839,0.0132654212986719,0.010462500700888333,0.012927479706095786,0.01518549461676904,0.015204290484400857,0.01939866337048482,0.015916887315987782
