fold,train_n,test_n,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_ret_mae,xgb_ret_mae,np_ret_mae,tft_ret_mae
1,1244,125,0.01440997420047247,0.011516293269665544,0.011877225031409732,0.009892333203040834,0.01082114603681739,0.015216634757535165,0.015883527437671432,0.0160334277378166,0.015526978001268161
2,1617,124,0.007425824262425672,0.00752720114520795,0.006155838400342628,0.005127517003286206,0.008864728886643573,0.007425824262425672,0.008416603152235327,0.008701701569002884,0.007893211279745535
3,1991,124,0.012970550959773914,0.012148951732113384,0.014206560314147763,0.00774527216760965,0.01387374643821782,0.010401122835174479,0.012933142379296537,0.012786908455742745,0.010821930317115524
4,2240,125,0.010057787819362408,0.010324641994601653,0.011576025089664582,0.008616577499795901,0.01298057421113805,0.012447542398404926,0.013806477342427336,0.015331155680247842,0.013024780326659989
