bank,n_folds,avg_naive_vol,avg_xgb_vol,avg_np_vol,avg_tft_vol,avg_hybrid_vol,avg_naive_ret,avg_xgb_ret,avg_np_ret,avg_tft_ret,best_vol,best_ret
BID,4,0.013993187566222785,0.0126054074169773,0.014270475774593394,0.01038348574027478,0.01306818797825607,0.015083966328128504,0.01573974832833347,0.020450298799660562,0.015546678961471714,TFT,Naive
CTG,4,0.011957857432497892,0.011056683744862593,0.01419242799333459,0.010332273503906196,0.012119018799026049,0.015502018183334899,0.015964785359103065,0.02035380039374831,0.015942671986394708,TFT,Naive
VCB,4,0.011216034310508615,0.010379272035397133,0.010953912208891178,0.007845424968433148,0.011635048893204207,0.01137278106338506,0.012759937577907658,0.013213298360702518,0.011816724981197303,TFT,Naive
