fold,train_n,test_n,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_price_mae,xgb_price_mae,np_price_mae,tft_price_mae,hybrid_price_mae
1,1237,123,0.017596905798493902,0.013467554942978315,0.01677136569808303,,0.014104163007221738,1.7218699186991864,0.7978138487901144,1.3579571260281693,,
2,1608,123,0.008839595241596825,0.009996647133812615,0.01339173319450668,,0.011017387327000123,5.331300813008131,0.4421095499178261,1.22627152543727,,
3,1979,124,0.011041989847010035,0.010967812906222668,0.013403617461803918,,0.012513427208653507,4.302338709677421,4.606912499089394,2.710657079142909,,
4,2226,124,0.010352938842890803,0.009794719996436775,0.012587717803699175,,0.010841097653228826,7.484758064516128,8.425845568256994,2.566035191935878,,
