fold,train_n,test_n,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_ret_mae,xgb_ret_mae,np_ret_mae,tft_ret_mae,hybrid_ret_mae
1,1237,123,0.017596905798493902,0.013467554942978315,0.019640359112343752,0.014606341311113614,0.014104163007221738,0.02312925891680165,0.02371769249430012,0.03910380279788338,0.023240332687350238,
2,1608,123,0.008839595241596825,0.009996647133812615,0.013367733427381175,0.008715822125096548,0.011017387327000123,0.013549572672094987,0.014034209794769702,0.015529930572200458,0.01395619067906053,
3,1979,124,0.011041989847010035,0.010967812906222668,0.012570546199437097,0.008967622811609314,0.012513427208653507,0.012112540899065912,0.012648330258697932,0.02091681777812618,0.0125115655381283,
4,2226,124,0.010352938842890803,0.009794719996436775,0.010705897623012658,0.00853954353116384,0.010841097653228826,0.013216700245377053,0.013458908888644514,0.016441135479595508,0.013908265663567784,
