fold,train_n,test_n,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_ret_mae,xgb_ret_mae,np_ret_mae,tft_ret_mae,hybrid_ret_mae
1,1244,125,0.01440997420047247,0.011516293269665544,0.011538539443072673,0.009828185710092367,0.01082114603681739,0.015216634757535165,0.015883527437671432,0.02226647272545026,0.015510439528026936,
2,1617,124,0.007425824262425672,0.00752720114520795,0.006335856743473698,0.005068098065848934,0.008864728886643573,0.007425824262425672,0.008416603152235327,0.010578457029797934,0.007931834258166707,
3,1991,124,0.012970550959773914,0.012148951732113384,0.012629715337320954,0.007659159426150747,0.01387374643821782,0.010401122835174479,0.012933142379296537,0.01425840896596101,0.010992105192122724,
4,2240,125,0.010057787819362408,0.010324641994601653,0.01169445612221602,0.00864702204837907,0.01298057421113805,0.012447542398404926,0.013806477342427336,0.015327989565985646,0.013119712782557757,
