fold,train_n,test_n,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_price_mae,xgb_price_mae,np_price_mae,tft_price_mae,hybrid_price_mae
1,1244,125,0.020401351398149532,0.015870622591109346,0.01816692864153875,,0.016234394962734346,3.35096,1.331518261108398,3.272912721557618,,
2,1617,124,0.012225208506330887,0.008457026868288706,0.01134360636859876,,0.010332639049580851,11.529193548387093,7.346863557138752,2.7466298933952085,,
3,1991,124,0.009226862012445295,0.014613895670268308,0.012414672850554613,,0.012778238194613298,6.086048387096772,0.8081906497093937,2.059485444099672,,
4,2240,125,0.014119328347965423,0.011480084538242839,0.013085403965498912,,0.012927479706095786,4.064640000000001,2.436430209960937,4.215111391601563,,
