bank,n_folds,avg_naive_vol,avg_xgb_vol,avg_np_vol,avg_tft_vol,avg_hybrid_vol,avg_naive_price,avg_xgb_price,avg_np_price,avg_tft_price,avg_hybrid_price,best_vol,best_price
BID,4,0.013993187566222785,0.0126054074169773,0.01375265295654776,,0.01306818797825607,6.257710483870967,2.98075066947937,3.0735348626635153,,,XGBoost,XGBoost
CTG,4,0.011957857432497892,0.011056683744862593,0.014038608539523201,,0.012119018799026049,4.710066876475216,3.5681703665135824,1.9652302306360565,,,XGBoost,NP
VCB,4,0.011216034310508615,0.010379272035397133,0.010344356346897135,,0.011635048893204207,6.259556612903226,4.338552415345714,3.8453052270680095,,,NP,NP
