bank,n_folds,avg_naive_vol,avg_xgb_vol,avg_np_vol,avg_tft_vol,avg_hybrid_vol,avg_naive_ret,avg_xgb_ret,avg_np_ret,avg_tft_ret,best_vol,best_ret
BID,4,0.013993187566222785,0.0126054074169773,0.013759681498756005,0.01043971822446867,0.01306818797825607,0.015083966328128504,0.01573974832833347,0.019371193645083832,0.015536419296794432,TFT,Naive
CTG,4,0.011957857432497892,0.011056683744862593,0.014071134090543672,0.010207332444745828,0.012119018799026049,0.015502018183334899,0.015964785359103065,0.022997921656951383,0.015904088642026713,TFT,Naive
VCB,4,0.011216034310508615,0.010379272035397133,0.010549641911520836,0.007800616312617779,0.011635048893204207,0.01137278106338506,0.012759937577907658,0.015607832071798711,0.01188852294021853,TFT,Naive
