fold,train_n,test_n,naive_vol_mae,xgb_vol_mae,np_vol_mae,tft_vol_mae,hybrid_vol_mae,naive_ret_mae,xgb_ret_mae,np_ret_mae,tft_ret_mae,hybrid_ret_mae
1,1244,125,0.020401351398149532,0.015870622591109346,0.01926339617169836,0.01523013896700771,0.016234394962734346,0.021508958613818366,0.022342962519133414,0.028377185944332067,0.021787233881904577,
2,1617,124,0.012225208506330887,0.008457026868288706,0.011016002408883157,0.007840063240034445,0.010332639049580851,0.012225208506330887,0.012407734263741312,0.0146634509009412,0.012277764289742314,
3,1991,124,0.009226862012445295,0.014613895670268308,0.011594792201040484,0.008171867451808987,0.012778238194613298,0.011416203575595725,0.013004006046058293,0.015181378870311901,0.012098779973860175,
4,2240,125,0.014119328347965423,0.011480084538242839,0.013164535213402016,0.010516803239023535,0.012927479706095786,0.01518549461676904,0.015204290484400857,0.019262758864750155,0.015981899041670664,
