fold,n_test_days,n_high_vol_days,vol_threshold,naive_high_vol,xgb_high_vol,np_high_vol,tft_high_vol,hybrid_high_vol,naive_normal_vol,xgb_normal_vol,np_normal_vol,tft_normal_vol,hybrid_normal_vol,naive_high_ret,xgb_high_ret,np_high_ret,tft_high_ret,naive_normal_ret,xgb_normal_ret,np_normal_ret,tft_normal_ret
1,125,25,0.02557367664673565,0.035958656923896104,0.0224322953232911,0.024026881283085433,0.025481453713508975,0.019976175749046407,0.00902280351961656,0.00878729275625916,0.010607657878639827,0.006322383426014397,0.008532388608760134,0.03688372637006892,0.03449783364987438,0.036845229071113005,0.036928466328899096,0.009799861854401723,0.011229950884620688,0.012171946225380332,0.010170671557023439
2,124,24,0.011026195804082504,0.019719999230924087,0.008884595967239313,0.015406284674355555,0.014581763491879863,0.007540166515126086,0.004475222269986054,0.007201426387920424,0.00427007479417916,0.002853891604308967,0.00918262385580777,0.019719999230924087,0.01879719407782869,0.020355962473809105,0.01987913070127871,0.004475222269986054,0.005925261330092919,0.012881948310435161,0.005057385225734869
3,124,24,0.014935558085877003,0.015007011234590077,0.014094459208085651,0.025807786647120672,0.02333940394448496,0.01389174174365452,0.012481800493818031,0.011682029937880041,0.010098254589937522,0.0040404915156144975,0.013869427564913012,0.032096784092259974,0.03082975890417397,0.032244972552669574,0.03265440568640975,0.005194164133473958,0.008637954413325953,0.01589170248680749,0.005688973223689341
4,125,25,0.016722797729460025,0.03252757185934672,0.019999245757731317,0.029969380572515573,0.024803318628503098,0.014392597708147395,0.004440341809366331,0.00790599105381924,0.007101970740149503,0.004595628706080467,0.01262756833688571,0.03578543432708468,0.036997649410735925,0.038290587794113005,0.03686814740660705,0.006613069416234987,0.00800868432535019,0.012267408688677928,0.0070316366257500255
