bank,n_folds,avg_naive_high_vol,avg_xgb_high_vol,avg_np_high_vol,avg_tft_high_vol,avg_hybrid_high_vol,avg_naive_normal_vol,avg_xgb_normal_vol,avg_np_normal_vol,avg_tft_normal_vol,avg_hybrid_normal_vol,avg_naive_high_ret,avg_xgb_high_ret,avg_np_high_ret,avg_tft_high_ret,avg_naive_normal_ret,avg_xgb_normal_ret,avg_np_normal_ret,avg_tft_normal_ret
BID,4,0.03659356816256605,0.02212003324628451,0.03004760594407769,0.028398760533770696,0.019202277990799065,0.008420090319896083,0.010254568808696615,0.010011797415852652,0.006033017843353326,0.011542043085562007,0.04000802178059564,0.03822851646167319,0.043166459787984585,0.039589874680320505,0.008952589759901715,0.010205673629993688,0.015853810671847775,0.009532702918911997
CTG,4,0.03464737780441933,0.02130535531833222,0.025084151046055148,0.02788840159980632,0.018681784073152553,0.006484034344358014,0.008582130097140858,0.010556079875500435,0.00605441947082082,0.010533464886663568,0.04013851895106853,0.03872155362443829,0.04006066978325715,0.04095997692008845,0.00955669188125742,0.010474197427786791,0.015917526394071395,0.009961498395256365
VCB,4,0.025803309812189243,0.016352649064086844,0.023802583294269306,0.022051484944594225,0.013950170428993602,0.007605042023196744,0.008894185033969717,0.008019489500726503,0.004453098813004582,0.011053002091591657,0.031121486005084416,0.030280609010653242,0.03193418797292617,0.03158253753079865,0.006520579418524181,0.008450462738347438,0.013303251427825229,0.006987166658049419
