fold,n_test_days,n_high_vol_days,vol_threshold,naive_high_vol,xgb_high_vol,np_high_vol,tft_high_vol,hybrid_high_vol,naive_normal_vol,xgb_normal_vol,np_normal_vol,tft_normal_vol,hybrid_normal_vol,naive_high_ret,xgb_high_ret,np_high_ret,tft_high_ret,naive_normal_ret,xgb_normal_ret,np_normal_ret,tft_normal_ret
1,125,25,0.037139546949456786,0.05387030426747006,0.03048531204316018,0.036676112080672923,0.038481188824802615,0.03164692308920577,0.012034113180819398,0.012216950228096636,0.01301634947366504,0.009390569954142733,0.01238126293111649,0.05505677860084174,0.05407789349817389,0.06344524697654898,0.05412613333988188,0.013122003617062523,0.014409229774373302,0.03031230374628529,0.013465193486918863
2,124,24,0.01834432992397601,0.02977887899327732,0.015914434618549616,0.023699791555763888,0.02113116706511957,0.01184973415547276,0.008012327589463741,0.0066672490082260874,0.00808226245624024,0.004748552084104521,0.009968536224166788,0.02977887899327732,0.027122375704259762,0.029959728177869887,0.03049380603495248,0.008012327589463741,0.008876220318016883,0.011800398968859085,0.007856474226412884
3,124,24,0.01754912051190924,0.022472352629145192,0.01828362753845516,0.027737336321846124,0.02486011406280479,0.014212187265395623,0.006047944264437318,0.013733160021903461,0.00963286821914111,0.004189133518764447,0.01243409041762554,0.033717451044647705,0.033536298603598746,0.03491974840486245,0.03316719801650062,0.0060639041830232495,0.008076255832248583,0.009995480338736368,0.007021310365851499
4,125,25,0.023347363996991177,0.04025273676037162,0.023796758784973084,0.032077183818027814,0.02912257218235581,0.019100267453122103,0.007585976244863873,0.008400915976560279,0.009315709514364218,0.005803815816401608,0.01138428276933921,0.04147897848361581,0.03817749804066037,0.04434111559265702,0.04057236132994703,0.008612123650057351,0.00946098859533598,0.011307059633510357,0.009787833596464745
