fold,n_test_days,n_high_vol_days,vol_threshold,naive_high_vol,xgb_high_vol,np_high_vol,tft_high_vol,hybrid_high_vol,naive_normal_vol,xgb_normal_vol,np_normal_vol,tft_normal_vol,hybrid_normal_vol,naive_high_ret,xgb_high_ret,np_high_ret,tft_high_ret,naive_normal_ret,xgb_normal_ret,np_normal_ret,tft_normal_ret
1,123,24,0.03654658306372046,0.04913319710866381,0.02994664715580032,0.02519549744139975,0.036459117122909585,0.027718238025972453,0.009951744268755744,0.009472623497445704,0.015446201908546833,0.009548276929373453,0.010803781184494292,0.055916716620309816,0.05288579544801727,0.05594558253221076,0.056836365949268684,0.015180784322011793,0.016646637232792933,0.024807421035866275,0.015409795305894938
2,123,24,0.021690863967266643,0.024061332081334708,0.01805713056787912,0.021689065647052266,0.02364741343700563,0.01471221915224595,0.005149477219842187,0.008042590543735885,0.010719830222396434,0.00519089423135394,0.010121670520879924,0.0344962093739142,0.0326559604401586,0.034137170085900025,0.0354135293135315,0.008471600138320635,0.009519846001948152,0.01218188758039064,0.008761284504333324
3,124,24,0.017989037836073304,0.036459973063700996,0.019008108053969536,0.030024525649505408,0.029208630962475803,0.01785011325137904,0.004941673875004204,0.00903814207076342,0.009154489916182998,0.0041174476277467285,0.011232622558399378,0.037688726034193896,0.03801894222548093,0.03674210896981723,0.03737339050712178,0.005974256466635195,0.006559383386670014,0.013953870585983418,0.0067490503212778675
4,124,24,0.020726130517116855,0.028935008963977812,0.018209535495679906,0.023427515446263175,0.02223844487683425,0.01444656586301276,0.0058932420138299215,0.0077751642766184246,0.006903797454875471,0.005361059094809157,0.00997578528288068,0.03245242377585619,0.03132551638409636,0.03341781754510055,0.03421662191043185,0.008600126598062056,0.009170923089736068,0.012726926374045244,0.008925863449519327
